TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T17,Task_T17,Analysis,1,"api,ops,qa",4-5,2
T27,Task_T27,Design,1,"data,ops,ml,qa",2-3,2
T33,Task_T33,Testing,1,"ui,qa,dev","[3, 4]",2
T31,Task_T31,Development,4,"ui,ml,api",4-6,3
T20,Task_T20,Testing,2,"ml,data,api,qa","[3, 6]",2
T3,Task_T3,Analysis,1,"ops,api,qa",1-2,1
T32,Task_T32,Testing,3,"ui,ml",[2],3
T26,Task_T26,Analysis,1,"ui,etl,dev,data","[3, 6]",1
T35,Task_T35,Design,3,"etl,qa,ui,data",3-5,3
T39,Task_T39,Testing,1,"ml,qa,data","[2, 3]",1
T10,Task_T10,Analysis,3,"ml,ops",1-3,3
T46,Task_T46,Testing,2,"etl,api,ops,qa",4-4,2
T28,Task_T28,Development,1,"dev,qa,etl,api","[3, 4]",3
T7,Task_T7,Design,4,"data,api,ml,etl","[3, 5]",1
T23,Task_T23,Analysis,3,"ui,ops,ml,api",1-3,1
T40,Task_T40,Development,2,"qa,ui,etl",2-2,3
T41,Task_T41,Testing,4,"etl,ui",3-3,1
T36,Task_T36,Development,4,"api,etl,ml","[2, 4, 6]",3
T21,Task_T21,Development,4,"data,ops",2-4,1
T50,Task_T50,Design,4,"ui,ml","[4, 5]",1
T14,Task_T14,Design,2,"api,ops,etl",2-3,2
T22,Task_T22,Analysis,3,"ops,dev,data,api",[2],1
T1,Task_T1,Development,4,"dev,etl",1-1,1
T43,Task_T43,Testing,2,"qa,ops,ui,dev",4-5,2
T16,Task_T16,Analysis,2,"data,ui",1-3,1
T5,Task_T5,Analysis,1,"ops,api,qa",2-4,2
T13,Task_T13,Design,2,"dev,ui,etl,qa",1-2,2
T8,Task_T8,Testing,4,"etl,api,ml","[5, 6]",1
T47,Task_T47,Testing,4,"data,dev,api,etl",1-2,2
T19,Task_T19,Testing,4,"dev,ops,api","[4, 6]",2
T37,Task_T37,Development,2,"api,data,dev,qa",[6],3
T12,Task_T12,Testing,4,"ml,ops,dev,api","[3, 4, 6]",3
T38,Task_T38,Analysis,3,"api,ml","[1, 3]",2
T44,Task_T44,Design,1,"qa,dev",[2],2
T18,Task_T18,Design,2,"qa,data","[3, 4]",1
T34,Task_T34,Analysis,1,"api,ops,dev","[3, 4]",1
T15,Task_T15,Development,1,"qa,ui,etl,data",[3],2
T2,Task_T2,Development,4,"ml,etl,qa",3-4,2
T24,Task_T24,Testing,3,"data,qa",4-5,3
T6,Task_T6,Analysis,3,"data,dev,ops,etl","[2, 6]",2
T49,Task_T49,Development,3,"qa,etl","[1, 6]",3
T42,Task_T42,Development,4,"ml,ops,dev","[2, 3, 6]",1
T60,Task_T60,Testing,2,"ui,dev,ops,etl",2-2,1
T11,Task_T11,Analysis,1,"ui,data,dev",[4],2
T45,Task_T45,Analysis,4,"ui,qa,ml","[5, 6]",3
T4,Task_T4,Design,3,"data,ml,ops",1-2,2
T29,Task_T29,Design,1,"ml,dev,api",2-3,3
T30,Task_T30,Development,1,"qa,api,etl,ml",1-1,1
T25,Task_T25,Analysis,1,"ui,dev,qa",3-4,1
T51,Task_T51,Analysis,3,"ml,ops",2-3,1
T9,Task_T9,Development,3,"ops,data",3-4,1
T48,Task_T48,Analysis,4,"api,ml,ui","[3, 5]",3
TX,Task_TX,Testing,1,"qa,data,ml,ops",2-3,3
T99,Task_T99,Analysis,2,"etl,dev,ui","[3, 4, 6]",2
